Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
México,28.0,34.5,28.9,34.7,66.7,47.4,72.2,52.5,63.3,13.3,35.3,19.4,47.0,77.3,14.9,2.0,1.9,0.00,49.88,66.60,69.19,77.43,68.12,49.76,56.37,0.00,80.51,27.24,44.71,66.23,82.45,58.02,48.03,100.00,70.10,6.79,16.24,77.23,29.01,2.96,38.01,0.00,20.87,80.58,51.42,48.78,27.84,65.00,#DIV/0!,3.24,5.36,4.74,5.91,52.68,2.99,41.73,48.80,22.84,14.45,86.54,0.20,3.00,3.60,9.76,3.63,12.85,5.11,6.82,25.20,73.73,85.45,99.52,61.01,65.63,77.83,0.00,82.92,80.14,"4,468.94",99.80,0.20,2.68,12.54,9.57,0.00,5.05,5.96,16.09,10.98,7.57
Michoacán,6.9,15.6,71.9,72.2,1.6,64.7,70.2,5.9,30.6,20.7,26.3,5.0,61.8,85.6,3.4,0.0,0.8,47.80,5.73,6.11,26.25,71.18,49.21,12.38,43.93,9.29,67.44,39.99,25.25,42.86,44.68,32.10,50.33,16.85,74.99,3.63,86.71,99.46,45.70,97.95,59.83,0.00,30.43,75.73,60.45,49.56,27.21,20.00,#DIV/0!,2.47,4.43,1.41,7.93,63.29,11.78,13.21,15.09,37.51,12.50,97.68,0.05,5.82,27.93,5.53,5.20,45.05,22.78,4.92,19.18,26.98,98.56,99.71,65.35,62.50,91.13,56.24,99.62,0.00,"2,378.09",99.68,0.63,4.47,2.93,2.16,11.89,2.48,6.36,4.01,0.48,10.41
Morelos,3.3,40.8,54.9,22.2,67.8,50.0,0.0,51.4,93.9,5.9,40.6,40.8,47.0,99.0,33.4,7.5,2.3,79.18,12.06,17.59,54.85,71.53,75.73,11.69,40.12,15.61,53.88,55.19,24.74,75.00,68.62,96.91,64.14,48.16,82.05,4.15,0.00,97.32,51.07,87.77,70.20,0.00,71.30,9.41,15.33,39.24,52.24,55.00,#DIV/0!,2.93,4.21,6.18,3.38,49.97,20.56,14.92,31.71,27.44,18.31,88.81,29.05,7.12,9.01,24.87,11.51,40.02,25.15,11.05,57.51,51.59,91.76,99.50,74.60,75.00,82.89,0.00,43.19,29.25,"1,566.71",99.71,0.00,7.42,4.34,4.67,16.71,5.18,5.29,27.53,2.91,74.68
Nayarit,0.0,33.9,83.0,100.0,69.4,67.9,67.7,22.4,30.7,21.7,45.2,2.2,61.8,96.9,42.9,2.1,6.5,40.08,12.70,0.00,48.38,75.35,62.52,20.74,58.56,37.74,56.57,40.57,36.38,42.86,69.68,73.46,55.59,5.17,73.66,3.43,90.73,98.31,0.00,95.16,70.00,0.00,71.30,33.96,21.71,43.44,23.10,42.50,#DIV/0!,5.21,8.97,12.45,15.41,45.01,8.40,35.02,18.37,30.70,17.21,98.55,0.00,10.35,2.70,11.93,11.97,66.31,20.17,6.89,10.10,51.59,86.18,99.41,9.44,93.75,93.17,0.00,81.65,20.37,"1,161.03",99.78,0.00,15.23,0.55,7.81,16.61,2.13,6.31,4.36,0.00,1.52
Nuevo León,29.8,79.9,65.9,63.9,59.0,47.4,62.1,100.0,44.9,31.0,99.2,1.2,0.0,76.3,4.9,5.3,0.1,61.23,100.00,93.82,81.41,90.97,85.12,81.25,97.54,19.43,97.72,43.52,24.33,92.31,97.87,96.30,31.25,14.41,98.52,21.62,21.38,90.96,65.79,24.95,45.19,0.00,70.43,45.39,54.45,100.00,14.60,82.50,#DIV/0!,2.70,7.37,57.16,34.95,85.37,41.12,64.67,64.15,35.35,33.23,0.00,0.00,19.31,54.05,30.92,14.36,0.00,84.93,12.66,13.15,69.54,93.70,99.66,75.27,71.87,47.89,0.00,93.41,0.00,"1,379.47",99.98,2.18,2.82,28.46,26.75,6.97,4.60,6.48,67.73,27.03,10.99
Oaxaca,4.1,3.0,81.4,44.4,59.6,53.8,26.6,47.5,73.5,14.1,11.9,1.1,100.0,79.4,25.4,4.1,3.0,33.99,3.85,0.00,10.84,5.21,9.27,0.00,43.83,6.15,0.00,61.28,6.41,31.58,6.91,55.56,68.75,11.24,0.00,15.89,85.40,98.91,30.51,96.54,76.34,0.00,19.13,41.71,40.31,17.63,14.87,5.00,#DIV/0!,1.38,5.65,0.00,5.70,0.00,3.19,5.78,1.62,22.75,0.00,99.25,0.07,7.27,18.02,1.34,1.47,63.86,0.00,2.27,15.07,49.46,100.00,99.69,50.80,43.75,94.90,8.71,178.21,13.30,"1,473.09",99.73,1.99,7.06,0.66,1.82,15.10,2.95,6.03,5.76,0.00,1.50
Puebla,11.4,18.9,53.3,58.3,42.1,19.9,20.6,23.5,77.6,11.9,66.8,7.8,47.0,84.5,2.7,18.6,0.4,79.01,6.12,57.04,27.09,46.18,31.99,9.66,34.31,7.77,33.27,45.15,25.74,65.22,41.49,67.90,81.58,15.14,71.70,7.30,82.42,97.80,43.06,90.08,43.28,0.00,33.48,12.70,0.00,25.25,12.31,32.50,#DIV/0!,2.56,5.76,6.28,2.67,29.87,12.26,10.79,16.05,24.91,9.45,98.72,23.87,2.87,7.21,9.71,1.29,19.23,8.98,6.26,16.43,38.30,90.79,99.52,32.11,62.50,73.52,8.71,54.63,68.26,"2,939.81",99.80,0.15,3.66,17.91,14.16,7.18,4.78,5.65,10.70,2.63,15.50
Querétaro,4.7,39.0,81.7,75.0,52.5,75.6,76.6,74.5,38.8,44.6,71.4,6.1,61.8,96.9,28.5,59.5,0.0,84.05,7.35,74.32,42.47,89.93,52.69,66.17,75.71,20.16,49.56,59.48,20.76,0.00,66.49,13.58,29.93,36.24,75.35,16.95,71.27,93.36,50.45,65.67,25.84,0.00,92.17,59.46,45.25,64.70,15.37,55.00,#DIV/0!,9.53,7.24,30.71,6.54,76.75,25.29,30.55,50.78,21.95,20.00,97.85,0.00,8.85,4.50,22.92,48.24,51.74,26.29,6.88,24.13,17.17,96.61,99.47,36.36,56.25,100.00,8.71,27.26,41.21,"1,691.54",99.86,0.12,4.43,24.34,12.80,11.14,5.39,5.60,33.26,20.20,30.09
Quintana Roo,4.1,29.2,23.5,48.6,83.1,71.2,32.7,85.5,79.7,96.7,51.8,1.0,100.0,100.0,24.7,8.3,0.4,6.24,11.66,58.91,63.67,92.01,83.19,27.21,91.32,22.49,99.06,100.00,24.35,100.00,78.72,51.23,34.54,21.79,73.43,11.76,74.43,94.51,68.89,63.38,40.58,0.00,39.57,70.02,82.58,81.03,5.42,57.50,#DIV/0!,5.21,4.50,25.92,13.90,83.48,100.00,32.73,30.52,11.40,40.10,99.65,0.00,100.00,72.07,100.00,26.59,45.10,42.75,6.39,26.46,38.20,87.88,99.20,6.62,65.63,68.09,8.71,97.48,0.00,"1,067.41",99.83,100.00,46.99,1.43,9.91,100.00,1.60,8.42,4.31,0.00,7.48
San Luis Potosí,5.1,31.6,88.7,77.8,88.5,27.6,51.6,71.0,14.3,29.7,57.9,3.5,0.0,84.5,2.6,1.7,0.4,97.64,2.83,51.45,21.25,27.43,50.00,48.51,63.26,6.76,62.44,42.38,37.96,27.27,58.51,68.52,56.91,9.47,64.60,7.93,73.07,96.59,62.84,83.65,72.64,0.00,50.87,50.38,32.57,47.33,15.72,35.00,#DIV/0!,3.46,6.04,12.38,6.97,60.70,9.56,13.09,21.51,20.62,15.02,99.54,15.21,8.25,18.02,2.26,49.75,31.69,18.50,3.51,9.20,75.40,95.40,99.65,62.79,65.63,91.93,0.30,38.14,0.00,942.58,99.88,0.20,3.82,19.08,11.35,9.33,4.73,5.40,15.59,6.65,11.00
Sinaloa,5.1,41.3,49.0,27.8,61.7,62.8,8.9,51.8,0.0,7.2,8.0,0.7,32.7,93.8,1.4,15.0,1.2,19.29,30.20,49.46,57.93,86.81,58.44,38.83,72.53,22.82,86.13,42.19,39.21,64.29,73.94,61.73,53.95,0.00,93.99,4.33,55.16,89.65,29.65,56.11,34.94,0.00,0.00,50.05,52.79,72.99,23.87,52.50,#DIV/0!,4.76,5.12,6.85,22.72,57.38,28.28,46.00,23.98,24.21,31.27,94.26,0.03,29.55,49.55,11.03,16.35,33.45,41.75,6.79,19.63,62.30,91.52,99.64,92.44,93.75,85.30,8.71,79.38,0.00,"1,597.92",99.90,8.57,6.60,4.87,4.55,10.50,2.14,6.74,10.99,1.39,4.76
Sonora,7.0,43.1,49.5,59.7,27.9,48.1,1.6,23.1,47.0,52.5,49.6,0.0,32.7,84.5,10.1,1.3,0.1,62.12,29.39,44.10,65.65,94.10,70.12,74.34,80.89,33.60,58.46,35.28,25.23,25.00,92.55,51.85,32.89,1.03,81.38,11.63,51.14,83.30,24.29,35.16,37.33,0.00,60.87,78.87,28.42,67.65,34.40,65.00,#DIV/0!,4.48,7.64,26.35,18.30,90.70,18.05,38.14,44.78,21.25,23.07,79.70,12.04,26.60,41.44,4.59,23.52,12.11,50.12,9.17,7.84,59.53,92.73,99.80,100.00,68.75,76.99,0.00,78.69,40.10,880.17,99.95,1.54,6.08,30.00,8.46,10.81,3.77,5.81,12.51,10.17,13.39
Tabasco,3.1,19.8,80.0,26.4,73.2,96.8,60.5,43.5,30.6,26.0,83.4,5.2,100.0,8.2,14.5,78.1,11.5,2.64,3.83,0.00,50.60,4.86,44.04,51.66,72.72,35.93,68.20,4.67,60.15,46.15,65.96,75.31,100.00,14.49,51.29,5.94,94.26,98.27,30.37,95.46,41.72,0.00,73.48,39.06,30.61,39.76,20.14,40.00,#DIV/0!,1.02,5.21,28.04,3.18,17.05,3.47,9.42,13.72,10.69,3.32,98.67,6.39,9.39,13.51,8.98,26.54,24.29,14.01,3.03,11.37,81.90,88.85,99.60,45.61,65.63,95.51,8.71,25.43,0.00,"1,816.37",99.89,0.16,2.70,0.91,2.45,3.78,5.82,3.09,4.17,0.00,1.11
Tamaulipas,11.2,47.5,61.9,58.3,70.5,59.6,59.3,65.5,44.9,40.4,75.6,1.2,0.0,67.0,0.0,11.9,0.9,31.42,27.56,43.75,72.24,88.19,64.78,65.03,78.66,24.37,93.44,44.72,28.97,45.00,89.36,87.65,81.25,13.56,72.28,21.48,24.19,98.49,83.08,91.74,71.22,0.00,43.48,12.62,62.87,74.44,2.72,62.50,#DIV/0!,3.71,5.04,21.54,100.00,59.89,29.44,9.03,32.46,20.71,12.38,98.55,32.81,14.45,24.32,8.87,30.06,0.41,50.26,5.41,17.55,55.38,91.28,99.22,56.66,56.25,82.25,8.71,67.29,0.00,"1,129.82",99.91,5.70,4.54,56.63,11.12,11.23,4.95,5.00,11.42,14.17,3.22
Tlaxcala,0.2,12.9,79.7,79.2,31.7,11.5,4.4,40.8,87.8,8.9,82.6,18.6,47.0,90.7,5.2,70.9,0.3,29.60,6.45,87.03,42.46,90.28,69.45,1.69,0.00,23.56,39.60,32.25,30.55,75.00,75.53,80.25,58.22,16.16,82.64,10.24,100.00,100.00,33.95,75.38,100.00,0.00,65.65,66.17,45.62,26.85,8.53,52.50,#DIV/0!,3.15,5.40,3.55,11.29,79.51,5.60,24.03,11.88,17.37,10.46,100.00,34.74,0.00,0.00,11.20,27.18,8.96,5.10,2.52,0.00,39.75,90.31,99.72,14.17,62.50,75.44,100.00,178.21,42.08,"1,223.44",99.67,0.00,4.81,7.57,3.75,7.54,5.55,4.94,0.00,2.84,2.79
Veracruz,14.5,18.2,89.9,54.2,0.0,0.0,56.0,0.0,61.3,18.1,81.9,5.5,100.0,0.0,16.0,5.5,7.3,14.79,9.16,24.51,52.35,1.74,20.37,42.00,48.45,14.59,55.18,30.99,20.76,30.77,39.36,60.49,66.45,28.98,65.74,4.93,93.48,98.19,45.43,93.24,0.00,0.00,12.61,37.23,55.27,28.15,16.91,25.00,#DIV/0!,1.89,12.64,32.15,5.16,11.55,8.88,0.00,10.97,21.74,16.33,99.59,0.00,4.39,18.92,4.28,6.03,17.51,8.67,5.46,19.58,82.60,100.00,99.96,48.16,59.38,83.28,8.71,69.34,0.00,"1,629.13",99.87,1.11,5.70,6.05,4.33,10.76,3.59,5.70,4.64,0.83,5.45
